X,Y,Z,val
301473.598,6870478.993,604.699,0
301473.598,6869478.993,585.366,0
301473.598,6868478.993,516.659,0
301473.598,6867478.993,531.792,0
301473.598,6866478.993,524.144,0
301473.598,6865478.993,426.812,0
301473.598,6864478.993,320.267,0
301473.598,6863478.993,256.692,0
301473.598,6862478.993,347.078,0
301473.598,6861478.993,296.192,0
301473.598,6860478.993,238.685,0
301473.598,6859478.993,240.762,0
301473.598,6858478.993,409.886,0
301473.598,6857478.993,452.597,0
301473.598,6856478.993,650.072,0
301473.598,6855478.993,739.812,0
301473.598,6854478.993,721.38,0
301473.598,6853478.993,902.159,0
301473.598,6852478.993,859.662,0
301473.598,6851478.993,761.172,0
301473.598,6850478.993,536.704,0
301473.598,6849478.993,525.044,0
301473.598,6848478.993,350.801,0
301473.598,6847478.993,255.819,0
301473.598,6846478.993,244.941,0
301473.598,6845478.993,248.357,0
302473.598,6881478.993,377.797,0
302473.598,6880478.993,329.292,0
302473.598,6879478.993,352.087,0
302473.598,6878478.993,327.516,0
302473.598,6877478.993,348.273,0
302473.598,6876478.993,343.737,0
302473.598,6875478.993,380.915,0
302473.598,6874478.993,393.526,0
302473.598,6873478.993,398.414,0
302473.598,6872478.993,415.625,0
302473.598,6871478.993,475.621,0
302473.598,6870478.993,526.478,0
302473.598,6869478.993,614.582,0
302473.598,6868478.993,515.145,0
302473.598,6867478.993,496.867,0
302473.598,6866478.993,448.83,0
302473.598,6865478.993,339.301,0
302473.598,6864478.993,387.511,0
302473.598,6863478.993,496.808,0
302473.598,6862478.993,349.068,0
302473.598,6861478.993,338.466,0
302473.598,6860478.993,382.248,0
302473.598,6859478.993,354.78,0
302473.598,6858478.993,410.923,0
302473.598,6857478.993,497.39,0
302473.598,6856478.993,533.198,0
302473.598,6855478.993,753.9,0
302473.598,6854478.993,761.201,0
302473.598,6853478.993,934.035,0
302473.598,6852478.993,963.958,0
302473.598,6851478.993,598.965,0
302473.598,6850478.993,489.261,0
302473.598,6849478.993,385.16,0
302473.598,6848478.993,275.81,0
302473.598,6847478.993,257.936,0
302473.598,6846478.993,257.975,0
302473.598,6845478.993,257.021,0
303473.598,6881478.993,470.44,0
303473.598,6880478.993,445.803,0
303473.598,6879478.993,418.945,0
303473.598,6878478.993,435.371,0
303473.598,6877478.993,376.398,0
303473.598,6876478.993,361.095,0
303473.598,6875478.993,388.875,0
303473.598,6874478.993,426.52,0
303473.598,6873478.993,428.987,0
303473.598,6872478.993,469.834,0
303473.598,6871478.993,465.024,0
303473.598,6870478.993,550.625,0
303473.598,6869478.993,618.163,0
303473.598,6868478.993,517.275,0
303473.598,6867478.993,491.68,0
303473.598,6866478.993,480.529,0
303473.598,6865478.993,542.989,0
303473.598,6864478.993,572.067,0
303473.598,6863478.993,400.413,0
303473.598,6862478.993,315.21,0
303473.598,6861478.993,465.363,0
303473.598,6860478.993,386.075,0
303473.598,6859478.993,422.53,0
303473.598,6858478.993,559.532,0
303473.598,6857478.993,662.091,0
303473.598,6856478.993,669.384,0
303473.598,6855478.993,763.343,0
303473.598,6854478.993,856.329,0
303473.598,6853478.993,906.411,0
303473.598,6852478.993,704.732,0
303473.598,6851478.993,570.63,0
303473.598,6850478.993,412.146,0
303473.598,6849478.993,323.498,0
303473.598,6848478.993,286.594,0
303473.598,6847478.993,274.369,0
303473.598,6846478.993,265.751,0
303473.598,6845478.993,265.053,0
304473.598,6881478.993,491.853,0
304473.598,6880478.993,642.637,0
304473.598,6879478.993,573.164,0
304473.598,6878478.993,470.657,0
304473.598,6877478.993,426.6,0
304473.598,6876478.993,424.021,0
304473.598,6875478.993,489.099,0
304473.598,6874478.993,469.502,0
304473.598,6873478.993,509.261,0
304473.598,6872478.993,511.931,0
304473.598,6871478.993,616.804,0
304473.598,6870478.993,683.475,0
304473.598,6869478.993,709.294,0
304473.598,6868478.993,612.899,0
304473.598,6867478.993,676.562,0
304473.598,6866478.993,475.152,0
304473.598,6865478.993,620.276,0
304473.598,6864478.993,537.493,0
304473.598,6863478.993,458.471,0
304473.598,6862478.993,322.178,0
304473.598,6861478.993,353.387,0
304473.598,6860478.993,562.019,0
304473.598,6859478.993,517.697,0
304473.598,6858478.993,528.564,0
304473.598,6857478.993,608.208,0
304473.598,6856478.993,662.631,0
304473.598,6855478.993,862.026,0
304473.598,6854478.993,767.649,0
304473.598,6853478.993,742.517,0
304473.598,6852478.993,715.481,0
304473.598,6851478.993,474.442,0
304473.598,6850478.993,387.557,0
304473.598,6849478.993,335.041,0
304473.598,6848478.993,342.915,0
304473.598,6847478.993,294.565,0
304473.598,6846478.993,275.935,0
304473.598,6845478.993,274.716,0
305473.598,6881478.993,591.162,0
305473.598,6880478.993,768.045,0
305473.598,6879478.993,690.313,0
305473.598,6878478.993,614.213,0
305473.598,6877478.993,467.603,0
305473.598,6876478.993,469.301,0
305473.598,6875478.993,667.284,0
305473.598,6874478.993,646.471,0
305473.598,6873478.993,566.269,0
305473.598,6872478.993,689.482,0
305473.598,6871478.993,636.331,0
305473.598,6870478.993,767.13,0
305473.598,6869478.993,804.722,0
305473.598,6868478.993,674.65,0
305473.598,6867478.993,574.982,0
305473.598,6866478.993,634.925,0
305473.598,6865478.993,706.942,0
305473.598,6864478.993,623.598,0
305473.598,6863478.993,565.081,0
305473.598,6862478.993,577.875,0
305473.598,6861478.993,382.18,0
305473.598,6860478.993,440.042,0
305473.598,6859478.993,444.367,0
305473.598,6858478.993,411.094,0
305473.598,6857478.993,438.786,0
305473.598,6856478.993,593.737,0
305473.598,6855478.993,627.085,0
305473.598,6854478.993,593.436,0
305473.598,6853478.993,590.147,0
305473.598,6852478.993,597.075,0
305473.598,6851478.993,548.832,0
305473.598,6850478.993,624.778,0
305473.598,6849478.993,655.771,0
305473.598,6848478.993,430.489,0
305473.598,6847478.993,336.687,0
305473.598,6846478.993,282.488,0
305473.598,6845478.993,259.6,0
306473.598,6881478.993,511.16,0
306473.598,6880478.993,652.719,0
306473.598,6879478.993,799.842,0
306473.598,6878478.993,613.55,0
306473.598,6877478.993,599.836,0
306473.598,6876478.993,523.481,0
306473.598,6875478.993,543.001,0
306473.598,6874478.993,689.913,0
306473.598,6873478.993,681.777,0
306473.598,6872478.993,715.082,0
306473.598,6871478.993,654.831,0
306473.598,6870478.993,838.838,0
306473.598,6869478.993,907.662,0
306473.598,6868478.993,783.102,0
306473.598,6867478.993,637.292,0
306473.598,6866478.993,659.657,0
306473.598,6865478.993,834.102,0
306473.598,6864478.993,648.23,0
306473.598,6863478.993,506.337,0
306473.598,6862478.993,486.799,0
306473.598,6861478.993,454.91,0
306473.598,6860478.993,547.268,0
306473.598,6859478.993,690.845,0
306473.598,6858478.993,489.43,0
306473.598,6857478.993,405.125,0
306473.598,6856478.993,463.51,0
306473.598,6855478.993,502.992,0
306473.598,6854478.993,511.883,0
306473.598,6853478.993,566.889,0
306473.598,6852478.993,841.245,0
306473.598,6851478.993,709.838,0
306473.598,6850478.993,916.628,0
306473.598,6849478.993,680.347,0
306473.598,6848478.993,586.352,0
306473.598,6847478.993,489.798,0
306473.598,6846478.993,442.677,0
306473.598,6845478.993,281.863,0
307473.598,6881478.993,453.126,0
307473.598,6880478.993,565.591,0
307473.598,6879478.993,712.887,0
307473.598,6878478.993,739.194,0
307473.598,6877478.993,575.63,0
307473.598,6876478.993,617.263,0
307473.598,6875478.993,684.097,0
307473.598,6874478.993,798.533,0
307473.598,6873478.993,718.52,0
307473.598,6872478.993,716.794,0
307473.598,6871478.993,850.017,0
307473.598,6870478.993,837.463,0
307473.598,6869478.993,824.873,0
307473.598,6868478.993,777.301,0
307473.598,6867478.993,628.128,0
307473.598,6866478.993,712.014,0
307473.598,6865478.993,686.52,0
307473.598,6864478.993,546.387,0
307473.598,6863478.993,456.64,0
307473.598,6862478.993,534.251,0
307473.598,6861478.993,510.199,0
