id,left,top,right,bottom,X,Y,Z
"103",299473.598285385,6865478.9928241,300473.598285385,6866478.9928241,299473.598,6865478.993,568.235
"104",299473.598285385,6864478.9928241,300473.598285385,6865478.9928241,299473.598,6864478.993,582.954
"105",299473.598285385,6863478.9928241,300473.598285385,6864478.9928241,299473.598,6863478.993,390.600
"106",299473.598285385,6862478.9928241,300473.598285385,6863478.9928241,299473.598,6862478.993,307.408
"107",299473.598285385,6861478.9928241,300473.598285385,6862478.9928241,299473.598,6861478.993,245.873
"108",299473.598285385,6860478.9928241,300473.598285385,6861478.9928241,299473.598,6860478.993,317.379
"109",299473.598285385,6859478.9928241,300473.598285385,6860478.9928241,299473.598,6859478.993,442.594
"110",299473.598285385,6858478.9928241,300473.598285385,6859478.9928241,299473.598,6858478.993,742.136
"111",299473.598285385,6857478.9928241,300473.598285385,6858478.9928241,299473.598,6857478.993,613.144
"112",299473.598285385,6856478.9928241,300473.598285385,6857478.9928241,299473.598,6856478.993,625.089
"113",299473.598285385,6855478.9928241,300473.598285385,6856478.9928241,299473.598,6855478.993,610.128
"114",299473.598285385,6854478.9928241,300473.598285385,6855478.9928241,299473.598,6854478.993,687.001
"115",299473.598285385,6853478.9928241,300473.598285385,6854478.9928241,299473.598,6853478.993,810.676
"116",299473.598285385,6852478.9928241,300473.598285385,6853478.9928241,299473.598,6852478.993,656.317
"117",299473.598285385,6851478.9928241,300473.598285385,6852478.9928241,299473.598,6851478.993,467.414
"118",299473.598285385,6850478.9928241,300473.598285385,6851478.9928241,299473.598,6850478.993,388.417
"119",299473.598285385,6849478.9928241,300473.598285385,6850478.9928241,299473.598,6849478.993,328.034
"120",299473.598285385,6848478.9928241,300473.598285385,6849478.9928241,299473.598,6848478.993,291.627
"121",299473.598285385,6847478.9928241,300473.598285385,6848478.9928241,299473.598,6847478.993,246.698
"122",299473.598285385,6846478.9928241,300473.598285385,6847478.9928241,299473.598,6846478.993,240.065
"123",299473.598285385,6845478.9928241,300473.598285385,6846478.9928241,299473.598,6845478.993,160.734
"129",300473.598285385,6881478.9928241,301473.598285385,6882478.9928241,300473.598,6881478.993,250.226
"130",300473.598285385,6880478.9928241,301473.598285385,6881478.9928241,300473.598,6880478.993,247.700
"131",300473.598285385,6879478.9928241,301473.598285385,6880478.9928241,300473.598,6879478.993,259.126
